Farbe,Preis,Material,Structure1,Structure_2,Structure_3,Structure_4,outfit_id,object_id
marine,"49,99 EUR","""Zusammensetzung: 80% Wolle",Frauen,Accessoires,Schals & Tücher,Schals,/o/stefanie-giesinger-bold-layering-look-18780,/p/superdry/schal-7451966
,"ab 39,00 EUR","""Obermaterial: 4% Baumwolle",Frauen,Bekleidung,Wäsche,Bodies,/o/zoe-saibou-bodysuit-look-by-lascana-18424,/p/lascana/stringbody-2188669
silber,"24,90 EUR","""Obermaterial:  Messing""",Frauen,Accessoires,Schmuck,Ohrringe,/o/zoe-saibou-bodysuit-look-by-lascana-18424,/p/leger-by-lena-gercke/ohrringe-fergie-7106592
rot,"29,99 EUR","""Material: 95% Polyamid",Frauen,Bekleidung,Wäsche,Dessous,/o/zoe-saibou-red-lingerie-look-by-lascana-18423,/p/lascana/bh-3510735
aubergine,"ab 16,99 EUR","""Obermaterial: 10% Elasthan",Frauen,Bekleidung,Wäsche,Unterteile,/o/zoe-saibou-red-lingerie-look-by-lascana-18423,/p/lascana/string-6819557
,,"""Obermaterial:  Messing""",Ohrringe 'Jolanda',robots,description,Ohrringe 'Jolanda',/o/zoe-saibou-red-lingerie-look-by-lascana-18423,/p/leger-by-lena-gercke/ohrringe-jolanda-7106542
creme,,"""Obermaterial: 5% Elasthan",Frauen,Bekleidung,Wäsche,BHs,/o/zoe-saibou-creme-lace-look-by-lascana-18425,/p/lascana/bh-2004485
Weiß,"ab 15,00 EUR","""Obermaterial: 5% Baumwolle",Frauen,Bekleidung,Wäsche,Unterteile,/o/zoe-saibou-creme-lace-look-by-lascana-18425,/p/lascana/string-2035810
hellgrau,"49,99 EUR","""Obermaterial: 25% Polyester",Frauen,Bekleidung,Große Größen,Hosen,/o/zoe-saibou-creme-lace-look-by-lascana-18425,/p/lascana/hose-7036983
beige,"39,99 EUR","""Obermaterial:  Synthetik""",Frauen,Schuhe,Pantoletten,Klassische Pantoletten,/o/zoe-saibou-creme-lace-look-by-lascana-18425,/p/lascana/pantolette-7083870
,"16,90 EUR","""Obermaterial:  Metall""",Frauen,Accessoires,Schmuck,Ketten,/o/zoe-saibou-creme-lace-look-by-lascana-18425,/p/lascana/kette-7509121
,,"""Material: 99% Baumwolle",Frauen,Bekleidung,Jacken,Jeansjacken,/o/zoe-saibou-casual-denim-allover-look-18596,/p/edited/jacke-sarah-6953086
,"59,90 EUR","""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Jeans,Bootcut,/o/zoe-saibou-casual-denim-allover-look-18596,/p/kendall-for-about-you/jeans-hailey-7397934
,"200,00 EUR","""Zusammensetzung:  Leder""",Frauen,Schuhe,Stiefeletten,Klassische Stiefeletten,/o/zoe-saibou-casual-denim-allover-look-18596,/p/ekonika/stiefeletten-7457827
,,"""Futter:  Polyester""",Frauen,Accessoires,Taschen & Rucksäcke,Taschen,/o/zoe-saibou-casual-denim-allover-look-18596,/p/mango/handtasche-samantha-7470345
beige,"24,90 EUR","""Obermaterial: 65% Viskose",Frauen,Bekleidung,Große Größen,Shirts & Tops,/o/zoe-saibou-elegant-brown-leather-look-18594,/p/leger-by-lena-gercke/top-anja-7445927
,,"""Material: 100% Leder""",Frauen,Bekleidung,Hosen,Lederhosen,/o/zoe-saibou-elegant-brown-leather-look-18594,/p/day-birger-et-mikkelsen/hose-jagger-7498825
,"215,00 EUR","""Obermaterial:  Leder""",Frauen,Schuhe,Stiefeletten,Schnürstiefeletten,/o/zoe-saibou-elegant-brown-leather-look-18594,/p/ekonika/schnurstiefelette-7414010
,"496,00 EUR","""Schließe:  Silber 925""",Frauen,Accessoires,Schmuck,Ketten,/o/zoe-saibou-elegant-brown-leather-look-18594,/p/orquidea/perlenkette-tiffany-4593666
,,"""Zusammensetzung:  Metall""",Frauen,Accessoires,Schmuck,Ketten,/o/zoe-saibou-elegant-brown-leather-look-18594,/p/orquidea/perlenkette-valentina-4589479
pastellrot / rot,"99,90 EUR","""Material: 78% Baumwolle",Frauen,Sport,Sportarten,Fitness,/o/zoe-saibou-sporty-set-look-by-tommy-sport-18441,/p/tommy-sport/sportsweatshirt-7454764
pastellrot / hellrot,"ab 39,90 EUR","""Material: 76% Polyester",Frauen,Sport,Sportbekleidung,Sportwäsche,/o/zoe-saibou-sporty-set-look-by-tommy-sport-18441,/p/tommy-sport/sport-bh-7454633
,,"""Material: 74% Polyester",Frauen,Sport,Sportarten,Fitness,/o/zoe-saibou-sporty-set-look-by-tommy-sport-18441,/p/tommy-sport/leggings-7584062
,,"""Obermaterial:  Textil",Frauen,Sport,Sportarten,Fitness,/o/zoe-saibou-sporty-set-look-by-tommy-sport-18441,/p/tommy-sport/sportschuh-7350877
schwarz,"109,00 EUR","""Obermaterial:  Synthetik",Männer,Schuhe,Sneaker,Sneaker Low,/o/cherifa-ozworld-look-by-adidas-originals-18848,/p/adidas-originals/sneaker-ozelia-6866360
,"ab 44,90 EUR","""Material: 67% Baumwolle",Frauen,Bekleidung,Shirts & Tops,Shirts,/o/cherifa-ozworld-look-by-adidas-originals-18848,/p/adidas-originals/shirt-7386472
,"ab 119,00 EUR","""Material: 100% Polyester""",Frauen,Bekleidung,Jumpsuits,Lange Jumpsuits,/o/cherifa-ozworld-look-by-adidas-originals-18848,/p/adidas-originals/jumpsuit-7686111
,,"""Zusammensetzung: 95% Baumwolle",Frauen,Bekleidung,Blazer,Longblazer,/o/cherifa-elegant-allover-white-look-17788,/p/monosuit/blazer-7040111
,,"""Obermaterial:  Leder""",Frauen,Schuhe,Stiefel,LeGer by Lena Gercke Stiefel,/o/cherifa-elegant-allover-white-look-17788,/p/leger-by-lena-gercke/stiefel-elif-5906624
,,"""Obermaterial:  Polyurethan""",Frauen,Accessoires,Taschen & Rucksäcke,Taschen,/o/cherifa-elegant-allover-white-look-17788,/p/guess/schultertasche-cordelia-6868611
taupe,"129,00 EUR","""Obermaterial:  Synthetik",Männer,Schuhe,Sneaker,Sneaker Low,/o/cherifa-ozworld-look-by-adidas-originals-18849,/p/adidas-originals/sneaker-ozweego-5692463
,"ab 29,90 EUR","""Material: 74% Polyester",Frauen,Bekleidung,Shirts & Tops,Tops,/o/cherifa-ozworld-look-by-adidas-originals-18849,/p/adidas-originals/top-7778203
,"ab 64,90 EUR","""Material: 74% Recyceltes Polyester",Frauen,Bekleidung,Große Größen,Hosen,/o/cherifa-ozworld-look-by-adidas-originals-18849,/p/adidas-originals/hose-7714618
,,"""Material: 100% Baumwolle""",Frauen,Bekleidung,Große Größen,Kleider,/o/cherifa-classic-red-dress-look-by-tommy-hilfiger-18684,/p/tommy-hilfiger/kleid-7672147
weiß,"ab 99,90 EUR","""Obermaterial:  Leder""",Frauen,Schuhe,Sneaker,Sneaker Low,/o/cherifa-classic-red-dress-look-by-tommy-hilfiger-18684,/p/tommy-hilfiger/sneaker-7704756
dunkelblau,"39,90 EUR","""Material: 100% Baumwolle""",Frauen,Accessoires,Hüte & Mützen,Hüte,/o/cherifa-classic-red-dress-look-by-tommy-hilfiger-18684,/p/tommy-hilfiger/hut-7710736
,,"""Material: 96% Baumwolle",Frauen,Bekleidung,Große Größen,Kleider,/o/cherifa-maritime-black-white-look-by-tommy-hilfiger-18683,/p/tommy-hilfiger/kleid-7728690
,"ab 119,00 EUR","""Obermaterial:  Leder""",Frauen,Schuhe,Sneaker,Sneaker Low,/o/cherifa-maritime-black-white-look-by-tommy-hilfiger-18683,/p/tommy-hilfiger/sneaker-7760020
,,"""Material: 90% Polyester",Frauen,Bekleidung,Blusen & Tuniken,Blusenshirts,/o/cherifa-wide-leather-pants-look-17785,/p/zoe-karssen/bluse-6955982
,,"""Material: 100% Leder""",Frauen,Bekleidung,Hosen,3/4 Hosen,/o/cherifa-wide-leather-pants-look-17785,/p/studio-ar/hose-claire-7035962
,,"""Obermaterial:  Leder""",Frauen,Schuhe,Stiefeletten,Klassische Stiefeletten,/o/cherifa-wide-leather-pants-look-17785,/p/patrizia-pepe/stiefelette-6937479
schwarz,"109,00 EUR","""Obermaterial:  Synthetik",Männer,Schuhe,Sneaker,Sneaker Low,/o/cherifa-ozworld-look-by-adidas-originals-18850,/p/adidas-originals/sneaker-ozelia-6866360
oliv,"84,90 EUR","""Material: 100% Polyester""",Frauen,Bekleidung,Jacken,Übergangsjacken,/o/cherifa-ozworld-look-by-adidas-originals-18850,/p/adidas-originals/jacke-7987822
,"ab 34,90 EUR","""Material: 100% Baumwolle""",Frauen,Bekleidung,Shirts & Tops,Shirts,/o/cherifa-ozworld-look-by-adidas-originals-18850,/p/adidas-originals/t-shirt-7825324
,"ab 69,90 EUR","""Material: 87% Baumwolle",Frauen,Bekleidung,Große Größen,Hosen,/o/cherifa-ozworld-look-by-adidas-originals-18850,/p/adidas-originals/hose-7637067
ecru,,"""Obermaterial: 100% Polyamid""",Frauen,Bekleidung,Große Größen,Jacken,/o/cherifa-cool-white-blue-look-17780,/p/mango/mantel-nata-7071007
,,"""Zusammensetzung: 80% Polyamid",Frauen,Bekleidung,Jumpsuits,Lange Jumpsuits,/o/cherifa-cool-white-blue-look-17780,/p/monosuit/jumpsuit-7067895
,,"""Obermaterial:  Leder""",Frauen,Schuhe,Stiefel,Klassische Stiefel,/o/cherifa-cool-white-blue-look-17780,/p/samsoe-samsoe/stiefel-myral-6857266
,,"""Obermaterial:  Polyurethan""",Frauen,Accessoires,Taschen & Rucksäcke,Taschen,/o/cherifa-cool-white-blue-look-17780,/p/guess/schultertasche-cordelia-6868622
,,"""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Sweat,Sweatshirts,/o/mogli-white-sweat-look-by-about-you-x-mogli-17549,/p/about-you-x-mogli/sweatshirt-remi-7058302
,,"""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Große Größen,Hosen,/o/mogli-white-sweat-look-by-about-you-x-mogli-17549,/p/about-you-x-mogli/hose-roxane-7058366
schwarz,,"""Obermaterial:  Synthetik""",Frauen,Schuhe,Pantoletten,Klassische Pantoletten,/o/mogli-white-sweat-look-by-about-you-x-mogli-17549,/p/espadrij-l-originale/pantolette-plagette-jolie-7020056
,,"""Obermaterial: 100% Polyester""",Frauen,Bekleidung,Große Größen,Kleider,/o/mogli-rustbrown-mididress-look-by-about-you-x-mogli-15621,/p/about-you-x-mogli/kleid-liz-5842972
,"149,00 EUR","""Obermaterial:  Leder""",Frauen,Schuhe,Stiefel,Schnürstiefel,/o/mogli-rustbrown-mididress-look-by-about-you-x-mogli-15621,/p/edited/stiefel-dorle-5020751
,,"""Obermaterial: 96% Polyester",Frauen,Bekleidung,Große Größen,Blazer,/o/mogli-classy-transparent-black-look-by-about-you-x-mogli-17548,/p/about-you-x-mogli/blazer-alexis-7057973
,,"""Obermaterial: 95% Polyester",Frauen,Bekleidung,Große Größen,Shirts & Tops,/o/mogli-classy-transparent-black-look-by-about-you-x-mogli-17548,/p/about-you-x-mogli/shirt-ava-7057953
,,"""Obermaterial: 96% Polyester",Hose 'Ayla',robots,description,Hose 'Ayla',/o/mogli-classy-transparent-black-look-by-about-you-x-mogli-17548,/p/about-you-x-mogli/hose-ayla-7058266
,,"""Obermaterial:  Leder""",Frauen,Schuhe,Halbschuhe,Schnürschuhe,/o/mogli-classy-transparent-black-look-by-about-you-x-mogli-17548,/p/ekonika/schnurschuhe-6584308
,"59,90 EUR","""Obermaterial: 71% Polyester",Frauen,Bekleidung,Pullover & Strick,Pullover,/o/mogli-black-and-white-look-by-about-you-x-mogli-17550,/p/about-you-x-mogli/pullover-nia-7057987
,,"""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Große Größen,Jeans,/o/mogli-black-and-white-look-by-about-you-x-mogli-17550,/p/about-you-x-mogli/jeans-caya-7058273
,,"""Obermaterial: 91% Viskose",Frauen,Bekleidung,Shirts & Tops,Shirts,/o/mogli-checkered-green-look-15572,/p/about-you/shirt-gianna-5697753
,,"""Material: 65% Viskose",Frauen,Bekleidung,Hosen,Stoffhosen,/o/mogli-checkered-green-look-15572,/p/vero-moda/hose-kamma-5458138
,"175,00 EUR","""Obermaterial:  Leder""",Frauen,Schuhe,Stiefeletten,Klassische Stiefeletten,/o/mogli-checkered-green-look-15572,/p/camper/stiefelette-upright-4760569
weiß,"34,90 EUR","""Material: 100% Baumwolle""",Frauen,Bekleidung,Blusen & Tuniken,Longblusen,/o/mogli-fresh-pastel-look-15561,/p/pieces/bluse-noma-5004446
